Start,End,Ratio
0,1000,0
1000,1450,-0.01
1450,1705,0.03
1710,2130,0
2130,2400,-0.01
2400,2765,0.03
2770,3030,0
3030,3523,0
3523,3748,0.03
3748,4046,0.01
4046,4400,0.03
4400,4725,0
4725,5000,0.02
5000,5600,0
5600,5875,-0.03
5887,6260,0
6260,6660,0
6660,6910,0.01
6910,7345,0.02
7345,7680,0
7680,8006,-0.03
8006,8240,-0.02
8240,8550,0.02
8550,9000,0
9000,9569,0.01
9569,9831,0.02
9831,10250,0
10250,10630,0.03
10630,11190,0
11190,11440,0.01
11440,11715,-0.02
11715,12000,0.03
12000,12300,0
12300,12820,-0.03
12820,13365,0.02
13365,13650,0
13650,13866,0.01
13866,14350,0
14350,14760,-0.01
14760,15165,0.02
15165,15540,-0.01
15540,15700,0.03
15700,15913,0
15913,16040,-0.02
16040,16300,0.02
16300,16575,0
16575,17250,0.03
18000,18071,0
18071,18287,-0.648
18287,18680,1.54
18680,19215,0
19215,19332,-1.711
19332,19560,0
19560,19974,-1.872
19974,20180,1.626
20180,20565,0
20565,20895,-2.197
20895,21240,1.304
21240,21500,0.5
21500,21740,2.583
21740,22000,0
22000,22400,-1.125
22400,22740,0.632
22740,23060,0
23060,23584,1.698
23584,23825,0.394
23825,24120,-0.339
24120,24300,1.944
24300,24430,2.846
24430,24820,0
24820,25340,2.462
25340,25540,-0.4
25540,25780,-1.813
25780,26140,1.847
26140,26800,-0.853
26800,27060,0.358
27060,27415,2.592
27415,27950,0
27950,28140,-2.895
28140,28367,-1.678
28367,28635,0
28635,28860,-2.978
28860,29300,-1.068
29300,29635,1.746
29635,29920,0
29920,30300,-1.618
30300,30680,0.132
30680,30840,-1.5
30840,31080,0.583
31080,31580,1.24
31580,31905,-1.046
31905,32280,2.267
32280,32790,0.824
32790,33000,0.496
33000,33340,2.458
33340,34000,0
34000,34340,-0.412
34340,35028,1.192
35028,35195,-1.737
35195,35570,-2.933
35570,36229,0
